Name	Description	T1_normalize	C1_normalize
ENSG00000128422	KRT17	9427.893663	822.4984812
ENSG00000210082	MT-RNR2	28413.42496	13897.8747
ENSG00000198938	MT-CO3	832.8327519	6012.181686
ENSG00000184009	ACTG1	7003.310156	2213.697007
ENSG00000198727	MT-CYB	435.4567255	3344.073743
ENSG00000198712	MT-CO2	2092.360298	6652.009142
ENSG00000198804	MT-CO1	11763.56604	19763.14061
ENSG00000044574	HSPA5	1996.709221	5714.391521
ENSG00000115414	FN1	1626.292982	57.59149434
ENSG00000118503	TNFAIP3	1843.824763	141.105546
ENSG00000100345	MYH9	4152.874349	1335.011702
ENSG00000131016	AKAP12	1623.035341	124.8241368
ENSG00000137801	THBS1	1619.216037	149.0866289
ENSG00000072274	TFRC	3971.401283	1410.480822
ENSG00000169710	FASN	252.0178418	1754.49742
ENSG00000103257	SLC7A5	630.690516	2559.437519
ENSG00000136997	MYC	2090.619146	409.653024
ENSG00000151632	AKR1C2	110.8159576	1325.306705
ENSG00000142871	CYR61	1076.818824	21.83624286
ENSG00000198786	MT-ND5	1764.124892	4374.846564
ENSG00000087086	FTL	2861.612886	5993.346331
ENSG00000151914	DST	2508.158846	702.9099348
ENSG00000104419	NDRG1	1935.207207	446.4298541
ENSG00000120708	TGFBI	2387.850797	751.4987676
ENSG00000169429	CXCL8	903.6583588	66.27491255
ENSG00000198763	MT-ND2	895.9635863	2537.984368
ENSG00000075624	ACTB	5078.493701	2655.465908
ENSG00000125538	IL1B	694.8885086	24.77328138
ENSG00000118523	CTGF	648.8322059	13.79131128
ENSG00000182197	EXT1	2036.081743	696.3973711
ENSG00000135069	PSAT1	50.60576675	715.1688781
ENSG00000198888	MT-ND1	951.7366456	2408.43543
ENSG00000072110	ACTN1	1599.894857	476.8218179
ENSG00000111640	GAPDH	5039.682841	2845.543379
ENSG00000164171	ITGA2	762.0633111	94.87911373
ENSG00000073756	PTGS2	666.6368986	59.44310557
ENSG00000099194	SCD	1561.027831	3204.117473
ENSG00000137193	PIM1	592.2728196	36.13834345
ENSG00000013588	GPRC5A	808.5689436	124.0579529
ENSG00000162772	ATF3	656.1899811	70.23352968
ENSG00000136068	FLNB	1308.672992	385.3266833
ENSG00000116133	DHCR24	239.9982701	1032.75213
ENSG00000177606	JUN	661.4134398	77.57612596
ENSG00000142627	EPHA2	718.0289924	102.2855587
ENSG00000159176	CSRP1	838.0000444	159.493961
ENSG00000001084	GCLC	85.48499112	659.3012977
ENSG00000157557	ETS2	915.9025954	206.0396366
ENSG00000138166	DUSP5	499.7108844	31.47739103
ENSG00000134333	LDHA	1557.657857	569.721623
ENSG00000117525	F3	735.6651864	124.8241368
ENSG00000100664	EIF5	133.9002752	749.4556103
ENSG00000051108	HERPUD1	80.71086218	622.9075596
ENSG00000115963	RND3	782.7324811	151.7682728
ENSG00000090861	AARS	149.1213216	776.3358976
ENSG00000159399	HK2	911.52163	217.8516393
ENSG00000146674	IGFBP3	2425.538332	1161.598732
ENSG00000116285	ERRFI1	710.0533888	125.9095641
ENSG00000065618	COL17A1	592.8344818	83.06711101
ENSG00000163659	TIPARP	505.3275066	50.63199003
ENSG00000198840	MT-ND3	188.1006802	811.7719058
ENSG00000151012	SLC7A11	40.49584665	472.0970168
ENSG00000132470	ITGB4	1178.086524	389.923787
ENSG00000118515	SGK1	507.686488	57.01685637
ENSG00000087074	PPP1R15A	893.8292698	238.3470603
ENSG00000058085	LAMC2	821.26251	201.1871382
ENSG00000035403	VCL	948.5913371	270.9098786
ENSG00000034510	TMSB10	1020.427936	314.5185156
ENSG00000163110	PDLIM5	714.7713515	155.8545872
ENSG00000171522	PTGER4	362.9461318	11.62045673
