GeneName	C1_normalize_thefile1	T1_normalize_thefile1	T2_normalize_thefile2	T3_normalize_thefile3
ENSG00000001036_FUCA2	96.41148165	78.74504438	114.9279693	112.4392662
ENSG00000001084_GCLC	659.3012977	85.48499112	176.5284665	146.3843134
ENSG00000002586_CD99	77.12918532	96.38123835	95.75467485	104.6787057
ENSG00000002834_LASP1	335.5885745	375.0780359	347.4670513	476.0600333
ENSG00000003056_M6PR	101.0085854	105.8171638	130.4119419	141.5265579
ENSG00000003756_RBM5	62.89093339	124.520516	59.36454448	47.0372905
ENSG00000004142_POLDIP2	123.6110122	69.53378384	112.0212308	66.46831227
ENSG00000004455_AK2	279.2740535	179.4510819	255.6252937	142.1782081
ENSG00000004478_FKBP4	102.8601966	68.41045939	159.6470236	164.452794
ENSG00000004487_KDM1A	220.9802238	196.7502785	219.0674669	173.9313412
ENSG00000004897_CDC27	160.9624803	130.4179694	149.1380458	75.05824567
ENSG00000005007_UPF1	125.7180181	109.4679683	127.002114	189.2154986
ENSG00000005022_SLC25A5	304.3665782	246.3450533	290.8974477	266.3471764
ENSG00000005100_DHX33	118.8223625	77.7902186	90.05299543	108.2331609
ENSG00000005339_CREBBP	184.1395451	95.42641256	138.2936752	211.4308436
ENSG00000005700_IBTK	212.4245029	119.5217221	130.4678407	83.47045632
ENSG00000005884_ITGA3	316.3701269	345.8716001	854.4134297	270.1978362
ENSG00000005893_LAMP2	202.4641115	258.2522925	248.5261438	227.425892
ENSG00000006007_GDE1	95.90069234	74.364079	89.49400726	118.7188037
ENSG00000006118_TMEM132A	53.95212053	50.66193298	69.87352222	103.4938873
ENSG00000006125_AP2B1	558.5481069	730.4417277	477.4318026	256.9871111
ENSG00000006327_TNFRSF12A	73.17056819	232.0226664	111.0150521	194.6064223
ENSG00000006432_MAP3K9	76.23530403	229.7198513	104.6984857	145.7326633
ENSG00000006607_FARP2	98.64618487	105.7048313	93.91001386	72.57012703
ENSG00000006712_PAF1	59.5708029	54.08807257	59.36454448	127.0125325
ENSG00000006831_ADIPOR2	197.2923697	169.8466578	195.2545705	292.1762176
ENSG00000007168_PAFAH1B1	168.3689252	112.4447781	135.3869366	147.9838182
ENSG00000007202_KIAA0100	205.0819067	129.9124734	207.8877033	189.7486668
ENSG00000008018_PSMB1	236.0485084	228.4841944	264.1778128	345.5522865
ENSG00000008083_JARID2	65.95566923	153.5584532	87.36985218	115.1643485
ENSG00000008282_SYPL1	119.4608491	77.5655537	139.2998539	113.8610483
ENSG00000008294_SPAG9	112.6290421	168.7794996	186.7020514	289.7473398
ENSG00000008710_PKD1	122.0147957	70.37627718	93.79821622	145.6141814
ENSG00000008952_SEC62	130.9536085	93.62909343	128.0082927	107.2853062
ENSG00000008988_RPS20	633.1233457	741.5064736	599.5707194	909.9997725
ENSG00000009307_CSDE1	800.534541	773.128057	747.3671936	624.9917063
ENSG00000009335_UBE3C	173.540667	123.6780226	209.6764655	217.5326583
ENSG00000009844_VTA1	133.2521604	131.1481303	151.3739985	138.2683073
ENSG00000009954_BAZ1B	201.1232895	129.2384787	180.9444731	178.8483376
ENSG00000010244_ZNF207	173.2214237	160.579231	184.354301	169.1328267
ENSG00000010256_UQCRC1	232.3452859	259.0386196	223.7629675	219.5468496
ENSG00000010278_CD9	196.7177318	256.0618098	271.5564567	312.1404076
ENSG00000010292_NCAPD2	230.8767667	208.0958555	224.1542593	80.62689215
ENSG00000010404_IDS	41.50163117	65.32131713	70.43251039	168.7181402
ENSG00000010818_HIVEP2	56.37836973	144.4033589	104.6984857	125.6499914
ENSG00000011007_ELOA	90.47355596	76.94772525	101.9594436	109.0625338
